ref_id,human_label
[1],1
[2],1
[3],1
[4],1
[5],1
[6],0
[7],1
[8],1
[9],1
[10],1
[11],1
[12],1
[13],0
[14],1
[15],1
[16],1
[17],0
[18],1
[19],1
[20],1
[21],1
[22],1
[23],1
[24],1
[25],1
[26],1
[27],1
[28],0
[29],0
[30],0
[31],1
[32],1
[33],1
[34],1
[35],1
[36],1
[37],1
[38],0
[39],0
[40],0
[41],0
[42],1
[43],1
[44],0
[45],0
[46],1
[47],1
[48],0
[49],1
[50],1
[51],1
[52],0
[53],1
[54],1
[55],1
[56],1
[57],1
[58],1
[59],0
[60],0
[61],0
[62],0
[63],0
[64],1
[65],0
[66],0
[67],0
[68],0
[69],1
[70],1
[71],1
[72],1
[73],1
[74],1
[75],1
[76],1
[77],1
[78],1
[79],1
[80],1
[81],1
[82],1
[83],1
[84],1
[85],1
[86],1
[87],1
[88],1
[89],0
[90],1
[91],1
[92],1
[93],1
[94],1
[95],1
[96],1
[97],1
[98],1
[99],1
[100],1
[101],1
[102],0
[103],0
[104],1
